latitude,longitude,collision,distance_to_forest,forestHubName,distance_to_railway,railwayHubName,distance_to_water,waterHubName
8.580533289,80.45356755,0,3204.4612,9267851,10518.64938,101135932,2210.665975,10863
7.270719733,80.56112251,0,4024.138612,8340243,619.4913559,356425852,171.3570485,16501
7.254650042,80.58184939,0,443.0456457,926462276,150.4430554,356425847,748.002748,8945
6.975620418,80.22414546,0,2090.563028,11940653,3009.137443,404694650,1918.004724,2601
8.071424966,80.87843485,0,32058.38942,9449594,3326.554444,404995545,418.8436315,14311
8.100663197,80.86175129,0,29617.48895,9449594,5915.036817,765604001,2802.086593,606
6.923824022,79.87266546,0,1096.943066,582020061,660.7435016,259451372,487.9799395,12639
6.936185443,79.8654613,0,2370.806678,582020061,1060.6111,331333601,190.4002812,34
7.919165762,81.11573209,0,7829.47919,8104390,5463.431468,131344778,6111.961501,8433
7.903756453,81.10478762,0,6948.381571,12655549,6959.189832,131344778,4287.484155,8433
7.915513604,81.02131598,0,6711.018784,12655549,2210.367394,991332137,1330.896357,475
7.934819655,81.00620801,0,1668.986668,321309751,2829.570535,131344747,2366.636399,88
7.908452396,81.04613887,0,4899.721327,12655549,1310.688286,131344770,707.8083497,12800
7.27721441,80.64804309,0,689.4561143,8310187,3786.253428,417957294,4471.507855,12615
7.276164326,80.63791382,0,679.6850611,8310187,2200.46431,356425845,3654.523831,26
7.299994486,80.6221267,0,180.8216558,563911830,1566.515919,417957294,5227.130646,26
7.293108923,80.63744141,0,995.849335,8016686,1729.77178,417957294,5099.609721,26
7.074975299,80.51885272,0,10435.21237,7661401,2636.140876,102001818,5336.127173,14
7.052013383,80.52438477,0,915.9795006,1171058069,3107.813871,102001818,2744.647543,14
7.005690276,80.5390376,0,3997.29792,11800358,309.668707,373205287,2658.430456,14
6.945453051,80.5968547,0,3212.738828,9387505,3088.684035,30617333,2383.776655,5053
6.911310291,80.62170954,0,14539.05809,8066832,2095.097004,30617333,536.6694435,15669
6.878970823,80.6089725,0,10886.09731,8066832,3453.926971,396458273,805.8705173,1617
6.914638906,80.58641055,0,12918.90795,8066832,1266.855396,396458273,4851.122766,1191
6.908128141,80.5831954,0,12118.23939,8066832,888.8867532,396458273,4975.543571,1191
6.918637968,80.63122651,0,15823.5411,8066832,1761.09886,30617333,2440.402694,5053
6.893695803,80.60407081,0,11815.84755,8066832,1916.951609,396458273,2213.861078,713
7.060989049,80.54816658,0,2195.627114,1171058069,1498.931485,102001818,1823.84597,790
6.982651462,80.53909845,0,3646.81393,11800358,1622.955196,373187956,1329.429914,1136
6.913372422,80.56829466,0,12169.74752,8066832,875.0001291,409055626,3393.828466,1191
6.912474503,80.56833753,0,12074.37529,8066832,961.690948,409055626,3473.56457,1191
6.924785195,80.67137624,0,19352.66571,8066832,1863.014384,278502492,984.6116843,1311
6.981803651,81.05118313,0,1126.419698,540488995,2099.978947,102227187,6402.385861,265
6.82505586,80.97259353,0,2364.292643,7517389,1726.933659,102116929,1587.06949,409
6.79646716,80.97078117,0,831.9444656,244942525,1092.778595,244906318,1318.43998,412
6.883648506,81.04567638,0,1085.103072,386502845,423.6805513,1363861081,447.5932524,4129
6.797034498,80.97918756,0,381.0288983,244854151,972.9801296,417950615,1413.152541,412
6.887790072,81.02470171,0,2671.491126,386502841,2719.578643,581249920,306.7429938,5529
6.843681021,81.0140487,0,2623.577016,386502841,1229.031581,258445947,1803.91444,7770
6.841031492,80.98297141,0,2815.04298,7517389,1397.874749,258445962,3084.756133,4474
6.816584594,81.00672975,0,1146.583803,926987980,1797.797598,102227190,2773.735247,4472
6.884959297,81.08764329,0,1350.014074,1224666869,2450.634453,417950603,637.3914943,5226
6.815792818,80.94912403,0,1111.857702,898038010,2120.878804,244906318,808.9664437,875
7.456494676,80.63389682,0,9066.834798,7997421,4336.3575,417957263,1757.693612,4873
7.341173625,80.66506533,0,1946.066221,567942581,1898.79192,101855249,1811.153129,1452
7.346272945,80.65038551,0,1376.540047,591026547,1210.525306,417957308,1689.143478,1452
7.392677431,80.67756778,0,3187.174143,7997421,4579.112951,417957263,2222.180247,4136
7.319782377,80.6592245,0,212.3478307,1385496019,2198.015085,417957308,4295.174278,12615
7.343684906,80.62016193,0,1167.611348,563927619,3129.641706,417957308,726.9630124,426
7.337786641,80.69545149,0,7940.567585,7997421,3447.016008,101855249,1866.727879,742
5.932956496,80.55924358,0,3752.394409,1332445804,2337.412945,496943028,16908.52599,610
6.03189335,80.19480404,0,1798.438568,536835790,1996.981015,19314715,1941.071454,1380
6.027449647,80.20528802,0,1290.210857,449512669,1399.757789,6504056,983.4430111,15815
6.035195383,80.21837032,0,171.9050905,616650233,442.600228,418264140,449.6963111,5819
