TimeOfDay,Name,RoadDistance,Date_parsed,Elevation,LC_40.0,LC_90.0,Season,EleID,Year,LC_10.0,LC_60.0,Datetime_standard,Month,HumanDistance,LC_50.0,longitude,LandCover2,latitude,WaterDistance,NDVI_normalized,LC_20.0,Day,Hour,DayOfWeek,Protected,ElephantPresent,LC_80.0,LC_30.0
Midday,Negative,283.3800832,2010-04-07,15.0,0,0,Inter-Monsoon,0,2010.0,1,0,2010-04-07 12:00:00,4.0,318.8917127,0,82.27516770390112,10.0,5.3711852099952075,51.41555241,0.829,0,7.0,12,2.0,1,0,0,0
Evening,Negative,1861.632207,2010-05-03,64.0,0,0,Inter-Monsoon,0,2010.0,1,0,2010-05-03 20:00:00,5.0,4000.443977,0,81.46674530809183,10.0,7.272488439870741,16560.34486,0.8186,0,3.0,20,0.0,1,0,0,0
Evening,Negative,2124.925616,2010-03-01,37.0,0,0,Inter-Monsoon,0,2010.0,1,0,2010-03-01 20:00:00,3.0,1430.1958,0,81.27002354131344,10.0,6.3132741426451435,888.4359874,0.8646,0,1.0,20,0.0,0,0,0,0
Night,Soma,1106.678554,,28.0,0,0,,621995,,1,0,,,3779.412243,0,81.19244311,10.0,8.098344231,4146.029034,0.6648,0,,0,,1,1,0,0
Midday,Negative,143.5193619,2010-05-11,9.0,1,0,Inter-Monsoon,0,2010.0,0,0,2010-05-11 12:00:00,5.0,2754.937194,0,82.1043142221045,40.0,7.466510433435539,5609.338295,0.7429,0,11.0,12,1.0,0,0,0,0
Night,Samudra,2192.036051,,163.0,0,0,,621990,,1,0,,,2196.056549,0,80.81701864,10.0,8.089673979,4012.07206,0.8804,0,,4,,1,1,0,0
Midday,Negative,401433.7911,2010-05-02,84.0,0,0,Inter-Monsoon,0,2010.0,1,0,2010-05-02 12:00:00,5.0,401727.8367,0,84.37428096055812,10.0,5.0204774290543925,399051.0405,-0.2,0,2.0,12,6.0,0,0,0,0
Early Morning,Negative,1115.048663,2010-09-03,10.0,0,0,Inter-Monsoon-2,0,2010.0,0,1,2010-09-03 08:00:00,9.0,417.9268672,0,81.2244925285352,60.0,5.63353343662568,1011.359446,0.6874,0,3.0,8,4.0,0,0,0,0
Early Morning,Wanamali,2064.603422,,32.0,0,0,,621512,,1,0,,,3231.580464,0,81.11536229,10.0,6.214867745,1400.036647,0.8502,0,,8,,0,1,0,0
Afternoon,Madara,1097.213524,2010-01-01 00:00:00,90.0,0,0,Dry,621994,2010.0,0,0,2010-01-01 16:00:00,1.0,690.3753425,0,80.29997558,30.0,7.994569073,346.5461605,0.8387,0,1.0,16,4.0,0,1,0,1
Evening,Negative,401433.7911,2010-09-10,84.0,0,0,Inter-Monsoon-2,0,2010.0,1,0,2010-09-10 20:00:00,9.0,401727.8367,0,84.31958366718665,10.0,5.2373870627504875,399051.0405,-0.2,0,10.0,20,4.0,0,0,0,0
